ダウンロードした時刻：2020/04/19 02:58:05

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
2019/6/4,30.1,8,1,74,8,1,曇,8,1
2019/6/5,29.7,8,1,69,8,1,曇後晴,8,1
2019/6/6,30.9,8,1,59,8,1,晴後薄曇,8,1
2019/6/7,25.1,8,1,86,8,1,大雨時々曇,8,1
2019/6/8,24.5,8,1,70,8,1,曇,8,1
2019/6/9,27.8,8,1,66,8,1,晴後曇,8,1
2019/6/10,26.2,8,1,78,8,1,曇時々雨,8,1
2019/6/11,28.2,8,1,66,8,1,曇後晴,8,1
2019/6/12,28.0,8,1,62,8,1,晴,8,1
2019/6/13,30.5,8,1,62,8,1,晴,8,1
2019/6/14,29.0,8,1,70,8,1,曇後一時雨,8,1
2019/6/15,27.3,8,1,79,8,1,曇時々晴一時雨、雷を伴う,8,1
2019/6/16,24.4,8,1,67,8,1,曇,8,1
2019/6/17,26.1,8,1,58,8,1,薄曇後晴,8,1
2019/6/18,26.9,8,1,61,8,1,薄曇,8,1
2019/6/19,29.1,8,1,66,8,1,薄曇,8,1
2019/6/20,31.2,8,1,63,8,1,晴,8,1
2019/6/21,30.9,8,1,68,8,1,曇後一時雨,8,1
2019/6/22,31.3,8,1,70,8,1,晴後曇一時雨,8,1
2019/6/23,26.6,8,1,65,8,1,曇一時晴,8,1
2019/6/24,28.5,8,1,59,8,1,晴,8,1
2019/6/25,31.5,8,1,57,8,1,晴,8,1
2019/6/26,30.3,8,1,65,8,1,曇,8,1
2019/6/27,26.1,8,1,87,8,1,雨一時曇,8,1
2019/6/28,30.7,8,1,81,8,1,曇,8,1
2019/6/29,31.8,8,1,80,8,1,曇,8,1
2019/6/30,28.4,8,1,88,8,1,曇時々雨,8,1
2019/7/1,27.9,8,1,84,8,1,曇一時雨,8,1
2019/7/2,27.1,8,1,83,8,1,曇一時雨,8,1
2019/7/3,27.5,8,1,85,8,1,曇後時々雨,8,1
2019/7/4,28.5,8,1,80,8,1,曇,8,1
2019/7/5,29.3,8,1,74,8,1,曇,8,1
2019/7/6,28.5,8,1,70,8,1,曇後時々晴,8,1
2019/7/7,32.0,8,1,64,8,1,晴時々曇,8,1
2019/7/8,30.7,8,1,71,8,1,曇一時晴,8,1
2019/7/9,28.2,8,1,79,8,1,曇後一時雨,8,1
2019/7/10,29.7,8,1,67,8,1,曇,8,1
2019/7/11,25.3,8,1,85,8,1,雨時々曇,8,1
2019/7/12,30.2,8,1,74,8,1,晴一時曇,8,1
2019/7/13,27.3,8,1,81,8,1,雨時々曇,8,1
2019/7/14,26.2,8,1,92,8,1,曇時々雨,8,1
2019/7/15,29.7,8,1,77,8,1,曇一時晴,8,1
2019/7/16,32.8,8,1,71,8,1,曇一時晴,8,1
2019/7/17,31.7,8,1,76,8,1,晴時々曇,8,1
2019/7/18,30.8,8,1,85,8,1,曇後時々雨,8,1
2019/7/19,27.1,8,1,95,8,1,雨後一時曇,8,1
2019/7/20,29.6,8,1,85,8,1,曇,8,1
2019/7/21,32.1,8,1,72,8,1,曇,8,1
2019/7/22,30.9,8,1,85,8,1,曇時々雨,8,1
2019/7/23,31.9,8,1,85,8,1,曇時々晴一時雨,8,1
2019/7/24,33.6,8,1,73,8,1,曇後晴,8,1
2019/7/25,34.4,8,1,69,8,1,晴時々曇、雷を伴う,8,1
2019/7/26,34.4,8,1,69,8,1,晴時々曇,8,1
2019/7/27,28.2,8,1,88,8,1,曇時々雨,8,1
2019/7/28,33.2,8,1,74,8,1,晴,8,1
2019/7/29,35.2,8,1,68,8,1,晴,8,1
2019/7/30,34.8,8,1,72,8,1,晴,8,1
2019/7/31,35.4,8,1,66,8,1,晴,8,1
2019/8/1,35.9,8,1,66,8,1,晴,8,1
2019/8/2,37.5,8,1,69,8,1,晴,8,1
2019/8/3,36.3,8,1,70,8,1,晴,8,1
2019/8/4,34.7,8,1,67,8,1,晴,8,1
2019/8/5,36.3,8,1,61,8,1,晴後一時曇,8,1
2019/8/6,36.9,8,1,67,8,1,曇,8,1
2019/8/7,36.2,8,1,68,8,1,晴後一時曇,8,1
2019/8/8,34.9,8,1,68,8,1,晴,8,1
2019/8/9,35.5,8,1,68,8,1,薄曇時々晴,8,1
2019/8/10,37.2,8,1,67,8,1,晴後一時薄曇,8,1
2019/8/11,36.7,8,1,68,8,1,晴後一時薄曇,8,1
2019/8/12,36.7,8,1,64,8,1,薄曇,8,1
2019/8/13,35.5,8,1,65,8,1,晴一時曇,8,1
2019/8/14,36.3,8,1,69,8,1,晴時々曇一時雨,8,1
2019/8/15,32.4,8,1,76,8,1,曇時々雨,8,1
2019/8/16,33.7,8,1,74,8,1,晴時々曇,8,1
2019/8/17,34.0,8,1,65,8,1,晴一時曇,8,1
2019/8/18,35.3,8,1,68,8,1,晴,8,1
2019/8/19,33.1,8,1,78,8,1,曇後時々雨、雷を伴う,8,1
2019/8/20,32.9,8,1,81,8,1,曇一時雨,8,1
2019/8/21,33.8,8,1,73,8,1,曇時々晴,8,1
2019/8/22,33.9,8,1,70,8,1,曇一時晴,8,1
2019/8/23,29.6,8,1,85,8,1,曇時々雨、雷を伴う,8,1
2019/8/24,29.7,8,1,77,8,1,曇一時晴,8,1
2019/8/25,30.0,8,1,71,8,1,晴一時曇,8,1
2019/8/26,31.4,8,1,68,8,1,晴後一時曇,8,1
2019/8/27,28.5,8,1,80,8,1,曇時々雨,8,1
2019/8/28,28.8,8,1,84,8,1,雨時々曇,8,1
2019/8/29,32.5,8,1,79,8,1,曇後時々晴,8,1
2019/8/30,28.9,8,1,90,8,1,曇時々雨、雷を伴う,8,1
2019/8/31,30.1,8,1,79,8,1,曇時々晴後時々雨,8,1
2019/9/1,30.3,8,1,76,8,1,曇,8,1
2019/9/2,33.2,8,1,71,8,1,曇,8,1
2019/9/3,34.0,8,1,69,8,1,晴,8,1
2019/9/4,33.1,8,1,78,8,1,曇時々晴後一時雨、雷を伴う,8,1
2019/9/5,32.3,8,1,83,8,1,曇後時々大雨、雷を伴う,8,1
2019/9/6,35.5,8,1,68,8,1,晴,8,1
2019/9/7,35.5,8,1,67,8,1,曇後晴,8,1
2019/9/8,35.7,8,1,65,8,1,晴,8,1
2019/9/9,34.4,8,1,69,8,1,晴後一時薄曇,8,1
2019/9/10,35.0,8,1,67,8,1,晴、雷を伴う,8,1
2019/9/11,34.5,8,1,77,8,1,曇時々晴一時雨、雷を伴う,8,1
2019/9/12,30.4,8,1,60,8,1,晴後一時薄曇,8,1
2019/9/13,26.2,8,1,82,8,1,雨後曇,8,1
2019/9/14,32.0,8,1,59,8,1,晴後一時曇,8,1
2019/9/15,33.5,8,1,61,8,1,晴,8,1
2019/9/16,30.8,8,1,63,8,1,晴一時曇,8,1
2019/9/17,31.8,8,1,64,8,1,晴後時々曇,8,1
2019/9/18,30.7,8,1,62,8,1,晴時々曇,8,1
2019/9/19,27.7,8,1,54,8,1,晴一時曇,8,1
2019/9/20,27.2,8,1,68,8,1,晴後雨時々曇,8,1
2019/9/21,24.7,8,1,82,8,1,曇,8,1
2019/9/22,28.5,8,1,77,8,1,曇後一時雨,8,1
2019/9/23,30.9,8,1,68,8,1,曇一時雨,8,1
2019/9/24,25.8,8,1,69,8,1,曇後一時雨,8,1
2019/9/25,29.0,8,1,63,8,1,晴,8,1
2019/9/26,31.0,8,1,66,8,1,晴,8,1
2019/9/27,29.1,8,1,71,8,1,曇,8,1
2019/9/28,29.5,8,1,64,8,1,曇,8,1
2019/9/29,31.7,8,1,67,8,1,曇一時晴,8,1
2019/9/30,32.3,8,1,65,8,1,曇一時晴,8,1
2019/10/1,33.1,8,1,68,8,1,晴後一時曇,8,1
2019/10/2,29.6,8,1,68,8,1,曇一時雨,8,1
2019/10/3,30.9,8,1,71,8,1,曇一時晴後雨,8,1
2019/10/4,29.7,8,1,65,8,1,晴,8,1
2019/10/5,27.9,8,1,62,8,1,曇後晴,8,1
2019/10/6,26.8,8,1,61,8,1,曇時々晴,8,1
2019/10/7,28.7,8,1,65,8,1,晴後一時曇,8,1
2019/10/8,26.6,8,1,73,8,1,曇一時雨,8,1
2019/10/9,25.0,8,1,49,8,1,快晴,8,1
2019/10/10,29.9,8,1,61,8,1,晴後一時曇,8,1
2019/10/11,28.0,8,1,70,8,1,曇,8,1
2019/10/12,23.1,8,1,88,8,1,大雨,8,1
2019/10/13,22.3,8,1,68,8,1,晴時々曇,8,1
2019/10/14,20.6,8,1,76,8,1,曇一時雨,8,1
2019/10/15,23.1,8,1,64,8,1,晴一時曇,8,1
2019/10/16,22.4,8,1,60,8,1,快晴,8,1
2019/10/17,23.7,8,1,69,8,1,曇,8,1
2019/10/18,24.0,8,1,81,8,1,曇時々雨,8,1
2019/10/19,25.0,8,1,84,8,1,曇,8,1
2019/10/20,24.9,8,1,67,8,1,曇,8,1
2019/10/21,21.5,8,1,80,8,1,曇後時々雨,8,1
2019/10/22,24.5,8,1,75,8,1,曇時々晴,8,1
2019/10/23,25.2,8,1,68,8,1,曇,8,1
2019/10/24,21.1,8,1,86,8,1,雨時々曇,8,1
2019/10/25,19.7,8,1,88,8,1,雨時々曇,8,1
2019/10/26,22.8,8,1,80,8,1,曇後晴,8,1
2019/10/27,22.9,8,1,72,8,1,曇時々晴,8,1
2019/10/28,23.6,8,1,59,8,1,晴時々薄曇,8,1
2019/10/29,17.6,8,1,88,8,1,雨後曇,8,1
2019/10/30,22.3,8,1,74,8,1,晴後一時薄曇、霧を伴う,8,1
2019/10/31,22.3,8,1,69,8,1,薄曇後晴,8,1
2019/11/1,23.0,8,1,68,8,1,晴,8,1
2019/11/2,21.1,8,1,55,8,1,晴,8,1
2019/11/3,20.9,8,1,66,8,1,曇一時晴,8,1
2019/11/4,19.2,8,1,58,8,1,晴,8,1
2019/11/5,19.7,8,1,58,8,1,快晴,8,1
2019/11/6,20.5,8,1,63,8,1,快晴,8,1
2019/11/7,21.0,8,1,63,8,1,薄曇時々晴,8,1
2019/11/8,19.4,8,1,53,8,1,晴,8,1
2019/11/9,20.2,8,1,57,8,1,晴,8,1
2019/11/10,19.5,8,1,56,8,1,晴後薄曇,8,1
2019/11/11,20.8,8,1,61,8,1,曇後晴,8,1
2019/11/12,21.4,8,1,56,8,1,晴,8,1
2019/11/13,22.2,8,1,61,8,1,晴後曇,8,1
2019/11/14,18.7,8,1,61,8,1,曇時々晴,8,1
2019/11/15,15.7,8,1,57,8,1,快晴,8,1
2019/11/16,17.7,8,1,70,8,1,快晴,8,1
2019/11/17,19.5,8,1,65,8,1,晴後薄曇,8,1
2019/11/18,24.5,8,1,69,8,1,曇時々晴後時々雨,8,1
2019/11/19,18.4,8,1,53,8,1,晴,8,1
2019/11/20,14.3,8,1,56,8,1,晴,8,1
2019/11/21,15.7,8,1,64,8,1,晴,8,1
2019/11/22,15.5,8,1,69,8,1,曇後一時雨,8,1
2019/11/23,22.4,8,1,67,8,1,晴一時曇,8,1
2019/11/24,19.1,8,1,77,8,1,曇後一時晴,8,1
2019/11/25,18.6,8,1,74,8,1,曇,8,1
2019/11/26,15.5,8,1,61,8,1,曇,8,1
2019/11/27,16.9,8,1,71,8,1,曇,8,1
2019/11/28,12.7,8,1,67,8,1,曇時々雨後時々晴,8,1
2019/11/29,12.5,8,1,60,8,1,晴,8,1
2019/11/30,12.2,8,1,61,8,1,晴,8,1
2019/12/1,17.1,8,1,64,8,1,晴後一時薄曇,8,1
2019/12/2,17.1,8,1,77,8,1,雨後曇時々晴,8,1
2019/12/3,12.9,8,1,51,8,1,晴後時々曇,8,1
2019/12/4,14.5,8,1,54,8,1,晴後時々曇,8,1
2019/12/5,13.3,8,1,57,8,1,晴後曇,8,1
2019/12/6,10.1,8,1,58,8,1,曇,8,1
2019/12/7,9.7,8,1,63,8,1,曇,8,1
2019/12/8,13.0,8,1,71,8,1,晴後曇,8,1
2019/12/9,14.3,8,1,67,8,1,快晴,8,1
2019/12/10,15.0,8,1,68,8,1,晴一時薄曇,8,1
2019/12/11,13.8,8,1,73,8,1,曇,8,1
2019/12/12,14.7,8,1,64,8,1,晴時々曇,8,1
2019/12/13,12.2,8,1,62,8,1,晴時々薄曇,8,1
2019/12/14,14.5,8,1,67,8,1,晴一時曇,8,1
2019/12/15,12.4,8,1,55,8,1,晴一時曇,8,1
2019/12/16,14.7,8,1,64,8,1,晴,8,1
2019/12/17,13.7,8,1,86,8,1,雨時々曇,8,1
2019/12/18,14.9,8,1,82,8,1,曇時々雨,8,1
2019/12/19,11.3,8,1,72,8,1,曇一時晴,8,1
2019/12/20,13.9,8,1,59,5,1,晴後時々曇,8,1
2019/12/21,11.4,8,1,61,8,1,曇,8,1
2019/12/22,9.6,8,1,77,8,1,曇後雨,8,1
2019/12/23,13.7,8,1,73,8,1,晴,8,1
2019/12/24,13.6,8,1,62,8,1,曇時々晴,8,1
2019/12/25,15.0,8,1,60,8,1,晴後時々薄曇,8,1
2019/12/26,11.6,8,1,85,8,1,雨時々曇,8,1
2019/12/27,11.6,8,1,64,8,1,晴一時雨,8,1
2019/12/28,11.5,8,1,63,8,1,晴後時々曇,8,1
2019/12/29,12.0,8,1,65,8,1,晴後曇,8,1
2019/12/30,11.2,8,1,90,8,1,雨後曇,8,1
2019/12/31,15.0,8,1,67,8,1,晴時々曇,8,1
2020/1/1,10.7,8,1,53,8,1,晴後一時曇,8,1
2020/1/2,11.8,8,1,60,8,1,晴,8,1
2020/1/3,13.5,8,1,54,8,1,晴一時曇,8,1
2020/1/4,12.5,8,1,55,8,1,晴時々曇,8,1
2020/1/5,10.3,8,1,59,8,1,晴時々曇一時みぞれ、あられを伴う,8,1
2020/1/6,11.0,8,1,59,8,1,晴後曇,8,1
2020/1/7,8.7,8,1,82,8,1,雨時々曇,8,1
2020/1/8,16.5,8,1,71,8,1,晴一時雨後時々曇,8,1
2020/1/9,13.4,8,1,60,8,1,晴一時曇,8,1
2020/1/10,13.2,8,1,59,8,1,晴後一時曇,8,1
2020/1/11,12.3,8,1,69,8,1,薄曇後晴,8,1
2020/1/12,10.7,8,1,71,8,1,曇,8,1
2020/1/13,11.6,8,1,49,8,1,晴,8,1
2020/1/14,11.0,8,1,61,8,1,晴後曇時々雨,8,1
2020/1/15,9.2,8,1,71,8,1,曇一時晴後時々雨,8,1
2020/1/16,10.0,8,1,70,8,1,曇一時晴,8,1
2020/1/17,9.8,8,1,71,8,1,曇,8,1
2020/1/18,12.0,8,1,61,8,1,晴一時曇,8,1
2020/1/19,10.9,8,1,59,8,1,晴後曇,8,1
2020/1/20,12.7,8,1,51,8,1,晴時々曇,8,1
2020/1/21,11.3,8,1,56,8,1,晴後一時曇,8,1
2020/1/22,11.0,8,1,67,8,1,曇一時晴,8,1
2020/1/23,11.7,8,1,92,8,1,曇時々雨,8,1
2020/1/24,14.5,8,1,78,8,1,曇,8,1
2020/1/25,10.8,8,1,56,8,1,曇時々晴,8,1
2020/1/26,12.5,8,1,61,8,1,曇,8,1
2020/1/27,10.3,8,1,69,8,1,雨,8,1
2020/1/28,19.1,8,1,69,8,1,晴後曇,8,1
2020/1/29,14.8,8,1,75,8,1,曇後一時晴,8,1
2020/1/30,12.7,8,1,63,8,1,晴後一時曇,8,1
2020/1/31,8.8,8,1,56,8,1,曇一時雨後晴、あられを伴う,8,1
2020/2/1,10.5,8,1,47,8,1,曇後晴,8,1
2020/2/2,11.9,8,1,57,8,1,晴一時曇,8,1
2020/2/3,12.7,8,1,63,8,1,薄曇,8,1
2020/2/4,11.4,8,1,45,8,1,晴,8,1
2020/2/5,12.2,8,1,52,8,1,晴後時々曇,8,1
2020/2/6,6.9,8,1,54,8,1,晴,8,1
2020/2/7,6.9,8,1,56,8,1,曇,8,1
2020/2/8,11.0,8,1,60,8,1,晴時々曇,8,1
2020/2/9,7.4,8,1,53,8,1,晴一時曇,8,1
2020/2/10,10.1,8,1,61,8,1,曇時々晴後一時雨,8,1
2020/2/11,12.3,8,1,49,8,1,晴,8,1
2020/2/12,14.6,8,1,65,8,1,晴後曇時々雨,8,1
2020/2/13,18.3,8,1,79,8,1,晴一時雨,8,1
2020/2/14,14.0,8,1,84,8,1,曇後時々雨,8,1
2020/2/15,13.4,8,1,85,8,1,曇,8,1
2020/2/16,15.2,8,1,90,8,1,雨,8,1
2020/2/17,11.1,8,1,51,8,1,晴一時曇,8,1
2020/2/18,9.4,8,1,58,8,1,晴後時々曇一時雨,8,1
2020/2/19,11.5,8,1,56,8,1,晴時々薄曇,8,1
2020/2/20,13.4,8,1,62,8,1,薄曇時々晴,8,1
2020/2/21,15.2,8,1,60,8,1,晴,8,1
2020/2/22,12.4,8,1,74,8,1,曇時々雨,8,1
2020/2/23,12.0,8,1,48,8,1,晴時々曇,8,1
2020/2/24,13.5,8,1,52,8,1,晴,8,1
2020/2/25,14.6,8,1,61,8,1,曇,8,1
2020/2/26,13.5,8,1,72,8,1,曇,8,1
2020/2/27,10.0,8,1,60,8,1,晴一時雨,8,1
2020/2/28,10.0,8,1,48,8,1,晴後曇,8,1
2020/2/29,9.3,8,1,78,8,1,雨時々曇,8,1
2020/3/1,14.7,8,1,70,8,1,曇一時晴,8,1
2020/3/2,15.8,8,1,58,8,1,晴,8,1
2020/3/3,15.1,8,1,54,8,1,晴一時曇,8,1
2020/3/4,9.8,8,1,82,8,1,雨一時曇,8,1
2020/3/5,10.5,8,1,62,8,1,晴時々曇一時雨,8,1
2020/3/6,13.2,8,1,48,8,1,晴,8,1
2020/3/7,16.2,8,1,51,8,1,曇一時晴,8,1
2020/3/8,13.3,8,1,77,8,1,雨後曇一時晴,8,1
2020/3/9,18.9,8,1,64,8,1,晴後薄曇,8,1
2020/3/10,16.9,8,1,85,8,1,雨後時々曇,8,1
2020/3/11,16.2,8,1,60,8,1,晴時々曇,8,1
2020/3/12,15.0,8,1,44,8,1,晴,8,1
2020/3/13,16.6,8,1,52,8,1,薄曇後時々晴,8,1
2020/3/14,11.1,8,1,73,8,1,雨後時々曇,8,1
2020/3/15,11.9,8,1,57,8,1,晴後一時曇,8,1
2020/3/16,10.5,8,1,59,8,1,晴時々雨一時曇、あられを伴う,8,1
2020/3/17,13.8,8,1,58,8,1,晴一時薄曇,8,1
2020/3/18,18.1,8,1,56,8,1,晴時々曇,8,1
2020/3/19,22.0,8,1,65,8,1,晴後時々曇,8,1
2020/3/20,16.9,8,1,40,8,1,晴,8,1
2020/3/21,18.4,8,1,52,8,1,晴,8,1
2020/3/22,19.9,8,1,61,8,1,曇,8,1
2020/3/23,17.0,8,1,49,8,1,晴,8,1
2020/3/24,14.2,8,1,42,8,1,晴,8,1
2020/3/25,16.3,8,1,47,8,1,快晴,8,1
2020/3/26,20.7,8,1,52,8,1,薄曇,8,1
2020/3/27,18.2,8,1,92,8,1,雨,8,1
2020/3/28,17.8,8,1,84,8,1,曇一時雨,8,1
2020/3/29,12.4,8,1,69,8,1,曇一時雨,8,1
2020/3/30,12.8,8,1,68,8,1,曇後雨,8,1
2020/3/31,19.4,8,1,71,8,1,曇一時雨,8,1
2020/4/1,16.6,8,1,82,8,1,雨,8,1
2020/4/2,15.1,8,1,56,8,1,晴時々曇,8,1
2020/4/3,17.7,8,1,50,8,1,薄曇,8,1
2020/4/4,20.8,8,1,55,8,1,快晴,8,1
2020/4/5,14.1,8,1,47,8,1,晴,8,1
2020/4/6,15.6,8,1,45,8,1,晴,8,1
2020/4/7,18.4,8,1,45,8,1,薄曇後晴,8,1
2020/4/8,20.4,8,1,50,8,1,快晴,8,1
2020/4/9,17.9,8,1,43,8,1,快晴,8,1
2020/4/10,16.0,8,1,46,8,1,晴一時薄曇,8,1
2020/4/11,15.5,8,1,54,8,1,薄曇,8,1
2020/4/12,11.3,8,1,77,8,1,雨,8,1
2020/4/13,11.3,8,1,86,8,1,雨,8,1
2020/4/14,17.8,8,1,49,8,1,晴,8,1
2020/4/15,19.8,8,1,49,8,1,薄曇,8,1
2020/4/16,21.2,8,1,55,8,1,薄曇後晴,8,1
2020/4/17,23.0,8,1,62,8,1,曇,8,1
2020/4/18,18.0,8,1,70,8,1,,8,1
